200.	-29.261024631823233
199.9	-29.241350682286317
199.8	-29.221678108259383
199.7	-29.202006854998416
199.6	-29.18233692241659
199.5	-29.16266831160818
199.4	-29.143001023667686
199.3	-29.123335126868582
199.2	-29.103670421613536
199.1	-29.084007107920776
199.	-29.064345122366955
198.9	-29.044684465200454
198.8	-29.025025137518796
198.7	-29.005367140428646
198.6	-28.985710475041003
198.5	-28.966055142468157
198.4	-28.94640121013974
198.3	-28.926748480936013
198.2	-28.907097152794357
198.1	-28.88744716262804
198.	-28.867798510867168
197.9	-28.848151264524105
197.8	-28.828505227630508
197.7	-28.808860597187696
197.6	-28.789217310233926
197.5	-28.76957536730574
197.4	-28.749934769517772
197.3	-28.730295583485734
197.2	-28.710657625873537
197.1	-28.69102105843914
197.	-28.67138585248206
196.9	-28.651751997415218
196.8	-28.632119494294926
196.7	-28.612488347315967
196.6	-28.592858555226865
196.5	-28.573230118224707
196.4	-28.55360303738328
196.3	-28.533977313839046
196.2	-28.514352948422925
196.1	-28.494729942557754
196.	-28.47510829760037
195.9	-28.455488027866146
195.8	-28.435869118235434
195.7	-28.41625156458507
195.6	-28.396635402624998
195.5	-28.37702057393144
195.4	-28.357407118253057
195.3	-28.337795034148602
195.2	-28.318184320498226
195.1	-28.29857497671226
195.	-28.278966977003783
194.9	-28.259360404169485
194.8	-28.239755155619317
194.7	-28.220151310734533
194.6	-28.20054886865038
194.5	-28.180947776509846
194.4	-28.16134806517922
194.3	-28.14174973427003
194.2	-28.122152785380948
194.1	-28.10255722030177
194.	-28.082963040158965
193.9	-28.063370245656476
193.8	-28.043778837976706
193.7	-28.02418881830926
193.6	-28.004600187844815
193.5	-27.98501294777876
193.4	-27.965427099305444
193.3	-27.94584264362407
193.2	-27.926259581937067
193.1	-27.906677915326526
193.	-27.887097645085074
192.9	-27.867518773342184
192.8	-27.84794130234704
192.7	-27.828365203876295
192.6	-27.808790551827556
192.5	-27.789217261504366
192.4	-27.76964538984237
192.3	-27.75007495683969
192.2	-27.730505858057327
192.1	-27.71093822474451
192.	-27.69137198868564
191.9	-27.67180715726126
191.8	-27.65224372931589
191.7	-27.632681725729142
191.6	-27.613121116753806
191.5	-27.593561937308912
191.4	-27.57400417309906
191.3	-27.554447825441116
191.2	-27.534892896340352
191.1	-27.515339387456457
191.	-27.495787310571977
190.9	-27.476236649687564
190.8	-27.456687405548788
190.7	-27.43713958556916
190.6	-27.41759319095719
190.5	-27.3980482488219
190.4	-27.378504703320964
190.3	-27.3589625943819
190.2	-27.33942191605025
190.1	-27.319882669593106
190.	-27.300344856259557
189.9	-27.280808477301058
189.8	-27.26127353397775
189.7	-27.241740027538487
189.6	-27.222207959198457
189.5	-27.202677330253024
189.4	-27.183148141978318
189.3	-27.163620395636475
189.2	-27.144094092486597
189.1	-27.12456923380472
189.	-27.105045820850883
188.9	-27.085523854897943
188.8	-27.066003337215623
188.7	-27.046484269075897
188.6	-27.026966651757984
188.5	-27.007450486534502
188.4	-26.987935774686918
188.3	-26.968422517494602
188.2	-26.948910716241112
188.1	-26.92940037221001
188.	-26.909891486688473
187.9	-26.890384060961257
187.8	-26.87087809632387
187.7	-26.851373594063368
187.6	-26.831870555479178
187.5	-26.812368981858913
187.4	-26.792868874503952
187.3	-26.773370234716136
187.2	-26.753873063788262
187.1	-26.734377363035215
187.	-26.71488313419576
186.9	-26.69539037863629
186.8	-26.67589909714828
186.7	-26.656409290961278
186.6	-26.636920961418127
186.5	-26.61743410972097
186.4	-26.597948710497917
186.3	-26.578464843416533
186.2	-26.558982409496153
186.1	-26.53950150741382
186.	-26.520022041715656
185.9	-26.500544109540318
185.8	-26.4810676476842
185.7	-26.461592667570503
185.6	-26.44211914747055
185.5	-26.422647177212323
185.4	-26.403176641797955
185.3	-26.383707628205535
185.2	-26.36424011106543
185.1	-26.344774090540845
185.	-26.325309567926777
184.9	-26.3058465445583
184.8	-26.286385021786273
184.7	-26.266925000947367
184.6	-26.247466483381487
184.5	-26.228009470426624
184.4	-26.208553963423743
184.3	-26.189099963695938
184.2	-26.16964747257127
184.1	-26.150196491353725
184.	-26.13074702145211
183.9	-26.11129906404875
183.8	-26.09185262059594
183.7	-26.072407692334234
183.6	-26.052964280650684
183.5	-26.03352238689955
183.4	-26.014082012296566
183.3	-25.99464315903908
183.2	-25.9752058315866
183.1	-25.955770027970697
183.	-25.936335749597504
182.9	-25.916902997864142
182.8	-25.89747177415756
182.7	-25.878042079891458
182.6	-25.858613916472336
182.5	-25.83918728532207
182.4	-25.819762187820988
182.3	-25.800338624914062
182.2	-25.78091659837146
182.1	-25.761496116933632
182.	-25.742077180281946
181.9	-25.72265977363833
181.8	-25.703243936189224
181.7	-25.683829610535717
181.6	-25.664416832443266
181.5	-25.645005600709645
181.4	-25.625595882413457
181.3	-25.606187775435046
181.2	-25.586781195412364
181.1	-25.56737616136499
181.	-25.54797268105801
180.9	-25.52857075532545
180.8	-25.509170385603902
180.7	-25.48977157322634
180.6	-25.470374319723714
180.5	-25.450978627016895
180.4	-25.431584497164884
180.3	-25.412191930634798
180.2	-25.392800928924117
180.1	-25.373411493446348
180.	-25.354023625656293
179.9	-25.334637327015194
179.8	-25.315252598961727
179.7	-25.295869442939235
179.6	-25.276487860414775
179.5	-25.25710785280731
179.4	-25.23772942161055
179.3	-25.218352568280345
179.2	-25.19897729429192
179.1	-25.179603601088402
179.	-25.160231490171252
178.9	-25.140860962972447
178.8	-25.12149202098223
178.7	-25.10212466567428
178.6	-25.08275889852392
178.5	-25.063394721004563
178.4	-25.044032134584874
