0.00052505,7.352e-05,0.99084,0.02756
103.78,3.3125,0.12875,0.00079692
107.24,3.4184,0.12838,0.00052063
114.03,3.6347,0.13144,0.00082056
120.36,3.8354,0.13241,0.00035988
124.98,3.9802,0.1349,0.00033678
131.4,4.1845,0.13962,0.00030061
136.83,4.3611,0.1472,0.00028466
142.55,4.5383,0.16396,0.00037535
147.27,4.6872,0.19052,0.00061587
155.14,4.9393,0.22056,0.00069602
160.15,5.0969,0.27057,0.0007356
161.32,5.135,0.26965,0.00077809
164.32,5.2283,0.28302,0.00072189
166.83,5.3087,0.30186,0.0010457
167.72,5.3363,0.91406,0.013737
160.59,5.1092,0.94029,0.012777
153.15,4.8731,0.94653,0.010669
147.03,4.68,0.9257,0.029562
143.84,4.5788,0.94484,0.019204
136.5,4.3449,0.93124,0.047517
129.59,4.123,0.90405,0.01835
129.25,4.1159,0.91466,0.041527
125.19,3.9882,0.1401,0.0007243
118.41,3.7684,0.13594,0.00077379
112.45,3.584,0.13137,0.00025994
107.19,3.4161,0.12938,0.00043811
103.17,3.2864,0.12876,0.00029623
0.0006274,8.8081e-05,0.99205,0.01629
