0.00062555,8.8016e-05,0.99511,0.0029853
18.181,0.58144,0.98468,0.0028933
19.697,0.62904,0.98587,0.0026058
21.2,0.67521,0.98179,0.002663
22.753,0.72687,0.97331,0.0025408
24.552,0.78336,0.97409,0.0027867
25.979,0.83013,0.95076,0.0050118
27.59,0.87939,0.93336,0.0040439
29.988,0.95404,0.87531,0.002318
31.452,1.0001,0.66709,0.0026528
31.926,1.0161,0.63976,0.0014441
35.197,1.1186,0.33168,0.00074216
37.614,1.1955,0.28984,0.00087303
39.951,1.2672,0.26426,0.00053782
41.816,1.3269,0.24159,0.00076123
43.66,1.3858,0.22575,0.00080418
46.691,1.4822,0.21049,0.00080609
43.793,1.3896,0.22323,0.00075133
41.495,1.3207,0.2392,0.00059053
40.126,1.2748,0.25812,0.0012995
37.867,1.2031,0.28486,0.0017273
35.351,1.1236,0.32185,0.0010766
33.234,1.0569,0.38246,0.0012077
31.644,1.0071,0.48427,0.0056041
29.417,0.93567,0.66544,0.013865
27.879,0.88661,0.86872,0.0080786
26.069,0.83022,0.94825,0.0029917
24.662,0.78713,0.93541,0.004774
22.62,0.7204,0.98238,0.0029439
21.087,0.67368,0.97029,0.0036157
19.81,0.62986,0.94446,0.011768
19.437,0.62147,0.96211,0.0041387
18.239,0.58167,0.9822,0.0040564
0.00064251,8.7093e-05,0.99567,0.0031724
