1,0.002375,0.0048734,1.0214,0.040893,0.97862,0.040028
2,2.9542,0.17188,1.0166,0.040796,0.99644,0.040389
3,11.542,0.33973,1.0214,0.040893,0.99869,0.040434
4,26.466,0.51445,1.0414,0.041299,1.0238,0.040942
5,46.478,0.68175,1.0676,0.041829,1.0244,0.040954
6,73.511,0.85739,1.1082,0.042651,1.0707,0.041891
7,104.65,1.023,1.1902,0.044308,1.1068,0.042621
8,142.52,1.1938,2.3918,0.068618,0.7364,0.035128
9,186.99,1.3674,3.2127,0.085226,0.65147,0.03341
10,238.05,1.5429,3.7722,0.096543,0.62321,0.032838
11,292.5,1.7103,4.2159,0.10552,0.61761,0.032725
12,349.87,1.8705,4.6066,0.11342,0.5974,0.032316
13,416.14,2.0399,4.9218,0.1198,0.63363,0.033049
14,496.54,2.2283,5.139,0.12419,0.73278,0.035055
15,569.09,2.3856,4.9516,0.1204,1.1515,0.043526
16,650.23,2.55,3.3835,0.08868,3.2795,0.086575
17,745.39,2.7302,3.403,0.089074,3.3392,0.087784
18,841.92,2.9016,3.0943,0.082829,3.0518,0.081969
19,948.2,3.0793,3.0746,0.08243,3.0362,0.081653
20,1059.6,3.2551,3.0811,0.082563,3.0243,0.081414
21,1165.6,3.4141,3.0785,0.082509,3.0596,0.082128
22,1049,3.2388,3.023,0.081386,2.9911,0.080742
23,934.95,3.0577,2.9585,0.080082,2.9087,0.079075
24,832.6,2.8855,2.9122,0.079145,2.8974,0.078846
25,753.3,2.7446,2.8922,0.078741,2.887,0.078635
26,649.79,2.5491,2.9256,0.079416,2.8519,0.077926
27,573.6,2.395,2.9606,0.080124,2.8906,0.078708
28,495.03,2.2249,4.1308,0.1038,3.048,0.081893
29,421,2.0518,4.7343,0.11601,0.60691,0.032508
30,351.33,1.8744,4.4271,0.10979,0.56681,0.031697
31,288.91,1.6997,4.0637,0.10244,0.58353,0.032036
32,237.94,1.5425,3.6049,0.093159,0.60725,0.032515
33,186.29,1.3649,3.0614,0.082164,0.62485,0.032871
34,142.09,1.192,2.3187,0.067138,0.71525,0.0347
35,104.6,1.0227,1.165,0.043798,1.0561,0.041595
36,72.092,0.84907,1.0876,0.042232,1.0477,0.041426
37,46.368,0.68094,1.0333,0.041135,1.0148,0.040759
38,26.422,0.51403,1.0117,0.040698,0.98445,0.040146
39,11.772,0.3431,0.98964,0.040251,0.97442,0.039943
40,2.903,0.17038,0.98133,0.040083,0.96174,0.039687
41,0.0024571,0.0049569,0.98133,0.040083,0.95854,0.039622
