0.00058321,7.2836e-05,0.98638,0.0072256
0.72544,0.024589,0.99546,0.0024507
2.8343,0.090157,0.99434,0.0031578
6.499,0.20448,0.99434,0.0024309
11.413,0.36073,0.99113,0.00219
18.052,0.56241,0.98018,0.0018509
25.698,0.79941,0.93915,0.0018637
34.998,1.0849,0.31412,0.0011488
45.918,1.421,0.20872,0.00046345
58.456,1.8074,0.17004,0.00046726
71.827,2.2155,0.1478,0.00032019
85.917,2.653,0.13564,0.00024726
102.19,3.1547,0.13673,0.00028343
121.93,3.7586,0.14874,0.00036185
139.75,4.3067,0.24652,0.0061771
159.67,4.917,0.9764,0.0098105
183.04,5.6326,0.97856,0.0089142
206.75,6.3632,0.98668,0.0045131
232.84,7.1651,0.98765,0.0049407
260.19,8.0024,0.4904,1.0309
286.24,8.7971,0.98815,0.019763
257.59,7.9169,0.99237,0.0022358
229.59,7.0623,0.99069,0.004327
204.46,6.289,0.98914,0.0047201
184.98,5.6968,0.98546,0.006104
159.57,4.9119,0.98149,0.0076095
140.86,4.3388,0.9744,0.011973
121.56,3.7464,0.84638,0.10157
103.38,3.1906,0.13348,0.0073331
86.273,2.6648,0.13513,0.0032424
70.946,2.1908,0.15011,0.00067003
58.429,1.8034,0.17212,0.004333
45.746,1.4193,0.21222,0.0015277
34.892,1.0813,0.30845,0.0053855
25.686,0.79816,0.90712,0.016088
17.703,0.55269,0.97625,0.0077218
11.386,0.35615,0.992,0.010796
6.4884,0.20544,0.99384,0.0056612
2.8908,0.092221,0.99622,0.0030421
0.71287,0.02411,0.99368,0.0031773
0.00060337,8.2329e-05,0.99595,0.002884
